Running on host gpu011
Using 8 Julia threads
Starting at Thu Apr  2 10:27:30 CEST 2026
Loading Modules
Finished Loading Modules
Running Lux_AE_train.jl

Training AE for 1000 epochs with λdiv=1000.0, λcurl=100.0)
Epoch 109/1000 | time=1.385s | train_loss=1.192 | train_corr=(0.582, 0.251) | val_loss=1.1743 | val_corr=(0.577, 0.244) | test_loss=1.1717 | test_corr=(0.576, 0.244)
Epoch 110/1000 | time=1.381s | train_loss=1.2073 | train_corr=(0.569, 0.233) | val_loss=1.1842 | val_corr=(0.578, 0.242) | test_loss=1.1818 | test_corr=(0.577, 0.243)
Epoch 111/1000 | time=1.319s | train_loss=1.1446 | train_corr=(0.578, 0.25) | val_loss=1.1558 | val_corr=(0.577, 0.243) | test_loss=1.1533 | test_corr=(0.576, 0.243)
Epoch 112/1000 | time=1.357s | train_loss=1.2243 | train_corr=(0.564, 0.232) | val_loss=1.1774 | val_corr=(0.578, 0.243) | test_loss=1.175 | test_corr=(0.577, 0.243)
Epoch 113/1000 | time=1.382s | train_loss=1.1674 | train_corr=(0.577, 0.234) | val_loss=1.1824 | val_corr=(0.578, 0.244) | test_loss=1.1801 | test_corr=(0.577, 0.244)
Epoch 114/1000 | time=1.389s | train_loss=1.1726 | train_corr=(0.574, 0.239) | val_loss=1.194 | val_corr=(0.578, 0.243) | test_loss=1.1916 | test_corr=(0.577, 0.244)
Epoch 115/1000 | time=1.384s | train_loss=1.1853 | train_corr=(0.572, 0.244) | val_loss=1.1575 | val_corr=(0.577, 0.244) | test_loss=1.1549 | test_corr=(0.576, 0.244)
Epoch 116/1000 | time=1.384s | train_loss=1.1713 | train_corr=(0.577, 0.252) | val_loss=1.1855 | val_corr=(0.577, 0.243) | test_loss=1.1828 | test_corr=(0.577, 0.244)
Epoch 117/1000 | time=1.401s | train_loss=1.1858 | train_corr=(0.573, 0.244) | val_loss=1.15 | val_corr=(0.576, 0.244) | test_loss=1.1474 | test_corr=(0.575, 0.244)
Epoch 118/1000 | time=1.399s | train_loss=1.1778 | train_corr=(0.572, 0.238) | val_loss=1.1699 | val_corr=(0.576, 0.244) | test_loss=1.1675 | test_corr=(0.575, 0.244)
Epoch 119/1000 | time=1.393s | train_loss=1.1977 | train_corr=(0.574, 0.24) | val_loss=1.1868 | val_corr=(0.577, 0.243) | test_loss=1.1843 | test_corr=(0.576, 0.244)
Epoch 120/1000 | time=1.386s | train_loss=1.1418 | train_corr=(0.581, 0.242) | val_loss=1.1747 | val_corr=(0.577, 0.245) | test_loss=1.1722 | test_corr=(0.576, 0.245)
Epoch 121/1000 | time=1.392s | train_loss=1.1605 | train_corr=(0.575, 0.248) | val_loss=1.1634 | val_corr=(0.577, 0.244) | test_loss=1.1609 | test_corr=(0.576, 0.244)
Epoch 122/1000 | time=1.389s | train_loss=1.152 | train_corr=(0.581, 0.246) | val_loss=1.1606 | val_corr=(0.577, 0.245) | test_loss=1.1583 | test_corr=(0.576, 0.245)
Epoch 123/1000 | time=1.39s | train_loss=1.1423 | train_corr=(0.576, 0.249) | val_loss=1.1536 | val_corr=(0.578, 0.245) | test_loss=1.1511 | test_corr=(0.578, 0.245)
Epoch 124/1000 | time=1.393s | train_loss=1.1545 | train_corr=(0.573, 0.247) | val_loss=1.1543 | val_corr=(0.577, 0.244) | test_loss=1.1519 | test_corr=(0.576, 0.244)
Epoch 125/1000 | time=1.391s | train_loss=1.1434 | train_corr=(0.58, 0.237) | val_loss=1.1466 | val_corr=(0.577, 0.245) | test_loss=1.1441 | test_corr=(0.576, 0.245)
Epoch 126/1000 | time=1.396s | train_loss=1.1415 | train_corr=(0.581, 0.249) | val_loss=1.1587 | val_corr=(0.577, 0.245) | test_loss=1.1561 | test_corr=(0.576, 0.245)
Epoch 127/1000 | time=1.392s | train_loss=1.1813 | train_corr=(0.562, 0.237) | val_loss=1.1614 | val_corr=(0.577, 0.247) | test_loss=1.1591 | test_corr=(0.576, 0.246)
Epoch 128/1000 | time=1.385s | train_loss=1.1382 | train_corr=(0.58, 0.252) | val_loss=1.1653 | val_corr=(0.577, 0.245) | test_loss=1.1628 | test_corr=(0.577, 0.245)
Epoch 129/1000 | time=1.389s | train_loss=1.1545 | train_corr=(0.58, 0.241) | val_loss=1.158 | val_corr=(0.577, 0.246) | test_loss=1.1555 | test_corr=(0.576, 0.246)
Epoch 130/1000 | time=1.401s | train_loss=1.1834 | train_corr=(0.582, 0.25) | val_loss=1.17 | val_corr=(0.576, 0.246) | test_loss=1.1672 | test_corr=(0.575, 0.246)
Epoch 131/1000 | time=1.389s | train_loss=1.1676 | train_corr=(0.572, 0.237) | val_loss=1.1614 | val_corr=(0.575, 0.245) | test_loss=1.1589 | test_corr=(0.574, 0.245)
Epoch 132/1000 | time=1.386s | train_loss=1.1493 | train_corr=(0.586, 0.254) | val_loss=1.1394 | val_corr=(0.576, 0.246) | test_loss=1.137 | test_corr=(0.575, 0.246)
Epoch 133/1000 | time=1.395s | train_loss=1.1384 | train_corr=(0.582, 0.251) | val_loss=1.1709 | val_corr=(0.575, 0.246) | test_loss=1.1683 | test_corr=(0.574, 0.246)
Epoch 134/1000 | time=1.391s | train_loss=1.1463 | train_corr=(0.582, 0.243) | val_loss=1.1728 | val_corr=(0.576, 0.247) | test_loss=1.1706 | test_corr=(0.576, 0.247)
